question;answer;count;cluster;sentiment;corrected
Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?;создание раб.групп для контрол;1;создание рабочих групп для контроля;neutrals;создание рабочих групп для контроля
Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?;сократить дублирование;1;сократить дублирование;positives;
Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?;травмы и работать над ней;1;травмы и работать над ней;negatives;
Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?;убедить работника что его жиз;1;убедить работника что его жизнь;neutrals;убедить работника что его жизнь
Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?;улучшать качество работы;1;улучшать качество работы;positives;
Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?;уменьшение бюрократии;1;уменьшение бюрократии;positives;
Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?;упростить бюрократич. нагрузку;1;уменьшение бюрократии;positives;упростить бюрократическую нагрузку
Вопрос 7. Что должны сделать Лидеры безопасности, чтобы снизить травматизм?;участие в жизни работника;1;участие в жизни работника;neutrals;
Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?;топ менеджеры;1;топ менеджеры;neutrals;
Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?;требования безопасности для р;1;требования безопасности для р;neutrals;
Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?;увеличить численность от до;1;увеличить численность от до;neutrals;
Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?;узконаправленная деятельность;1;узконаправленная деятельность;neutrals;
Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?;умение выслушать;1;умение выслушать;positives;
Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?;упростить закупки;1;упростить закупки;positives;
Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?;участие лидеров в совещ. рук.;1;участие лидеров в совещаниях руководителей;neutrals;участие лидеров в совещаниях руководителей
Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?;физическая;1;физическая;neutrals;
Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?;эта поддержка уже есть;1;эта поддержка уже есть;positives;
Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?;методическая;1;методическая;neutrals;
Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?;методология;1;методическая;neutrals;
Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?;тренинги;1;тренинги;neutrals;
Какие цели вы поставили себе на Школу тренеров?;прокачать тренерские знания;1;улучшить тренерские знания;positives;улучшить тренерские знания
Какие цели вы поставили себе на Школу тренеров?;прокачать тренерские компетенц;1;улучшить тренерские знания;positives;улучшить тренерские компетенции
Какие цели вы поставили себе на Школу тренеров?;прокачать тренерские навыки;1;улучшить тренерские знания;positives;улучшить тренерские навыки
Какие цели вы поставили себе на Школу тренеров?;совершенствоваться;1;совершенствоваться;positives;
Какие цели вы поставили себе на Школу тренеров?;повышение производительности;1;повышение производительности;positives;
Какие цели вы поставили себе на Школу тренеров?;получить ответы на вопросы;1;решение вопросов;neutrals;
Какие цели вы поставили себе на Школу тренеров?;узнать ответы на интерес. вопр;1;решение вопросов;neutrals;узнать ответы на интересующие вопросы
Какие цели вы поставили себе на Школу тренеров?;решение вопросов;1;решение вопросов;neutrals;
Какие цели вы поставили себе на Школу тренеров?;понять дальнейшие действия;1;понять дальнейшие действия;neutrals;
Какие цели вы поставили себе на Школу тренеров?;понять управление персоналом;1;управление проектами;neutrals;
Какие цели вы поставили себе на Школу тренеров?;посетить мастер-классы по инте;1;прохождение мастер классов;neutrals;посетить мастер классы по инте
Какие цели вы поставили себе на Школу тренеров?;прохождение мастер-классов;1;прохождение мастер классов;neutrals;прохождение мастер классов
Какие цели вы поставили себе на Школу тренеров?;применять;1;применять;neutrals;
Какие цели вы поставили себе на Школу тренеров?;применять знания на своём пр-е;1;применять знания на своём проекте;neutrals;применять знания на своём проекте
Какие цели вы поставили себе на Школу тренеров?;примеры реализованных проектов;1;примеры реализованных проектов;neutrals;
Какие цели вы поставили себе на Школу тренеров?;проверить свои знания;1;проверить свои знания;neutrals;
Какие цели вы поставили себе на Школу тренеров?;проектная деятельность;1;проектная деятельность;neutrals;
Какие цели вы поставили себе на Школу тренеров?;управление проектами;1;управление проектами;neutrals;
Какие цели вы поставили себе на Школу тренеров?;стать тренером фцк;1;стать тренером фцк;neutrals;
Какие цели вы поставили себе на Школу тренеров?;рассказать стране о шт;1;рассказать стране о шт;neutrals;
Какие цели вы поставили себе на Школу тренеров?;расширение творческих границ;1;расширение творческих границ;positives;
Какие цели вы поставили себе на Школу тренеров?;систематизация;1;систематизация;neutrals;
Какие цели вы поставили себе на Школу тренеров?;стать продуктивнее в работе;1;стать продуктивнее в работе;positives;
Какие цели вы поставили себе на Школу тренеров?;обучай. применяйте. соверш.;1;применяй обучай совершенствуй;neutrals;обучай применяйте совершенствуй
Какие цели вы поставили себе на Школу тренеров?;применяй обучай совершенствуй;1;применяй обучай совершенствуй;neutrals;
What countries are major investors abroad?;kazakhstan;1;kazakhstan;neutrals;
What countries are major investors abroad?;netherlands;7;netherlands;neutrals;
What countries are major investors abroad?;qatar;6;qatar;neutrals;
What countries are major investors abroad?;quatar;1;qatar;neutrals;qatar
What countries are major investors abroad?;russia;1;russia;neutrals;
What countries are major investors abroad?;uk;5;uk;neutrals;
What countries are major investors abroad?;vv;1;vv;neutrals;
What countries are major investors abroad?;ireland;1;ireland;neutrals;
What countries are major investors abroad?;luxembourg;1;luxembourg;neutrals;
What countries are major recipients of FDI?;singapore;4;singapore;neutrals;
What countries are major recipients of FDI?;south america;1;south america;neutrals;
What countries are major recipients of FDI?;swiss;1;swiss;neutrals;
What countries are major recipients of FDI?;thailand;1;thailand;neutrals;
What countries are major recipients of FDI?;turkey;1;turkey;neutrals;
What countries are major recipients of FDI?;uae;2;uae;neutrals;
What countries are major recipients of FDI?;uk;3;united kingdom;neutrals;
What countries are major recipients of FDI?;united kingdom;1;united kingdom;neutrals;
What countries are major recipients of FDI?;vietnam;1;vietnam;neutrals;
Name 4-5 emerging markets;india;18;india;neutrals;
Name 4-5 emerging markets;indonesia;2;indonesia;neutrals;
Name 4-5 emerging markets;korea;1;korea;neutrals;
Name 4-5 emerging markets;mexico;3;mexico;neutrals;
Name 4-5 emerging markets;pakistan;1;pakistan;neutrals;
Name 4-5 emerging markets;peru;1;peru;neutrals;
Name 4-5 emerging markets;philippines;1;philippines;neutrals;
Name 4-5 emerging markets;russia;7;russia;neutrals;
Name 4-5 emerging markets;saudi arabia;1;saudi arabia;neutrals;
Name 4-5 emerging markets;south america;1;south america;neutrals;
Name 4-5 emerging markets;turkey;4;turkey;neutrals;
Name 4-5 emerging markets;usa;2;usa;neutrals;
Name 4-5 emerging markets;viethnam;1;vietnam;neutrals;vietnam
Name 4-5 emerging markets;vietnam;4;vietnam;neutrals;
Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов);удовольствие;2;удовольствие;positives;
Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов);эйфория;1;удовольствие;positives;
Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов);это было круто!;1;это было круто;positives;это было круто
Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов);изумление;1;изумление;neutrals;
Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов);интерес;2;интерес;positives;
Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов);интересно;1;интерес;positives;
Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов);испуг;1;испуг;neutrals;
Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов);общение;1;общение;neutrals;
Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов);умиротворение;1;умиротворение;positives;
Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов);усталость;4;усталость;negatives;
Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов);чувство единения команды;1;чувство единения команды;positives;
Name 3 most important skills that you expect you will need in your future job.;hard working;1;hard working;neutrals;
Name 3 most important skills that you expect you will need in your future job.;innovation;1;innovation;neutrals;
Name 3 most important skills that you expect you will need in your future job.;it;1;it skills;neutrals;
Name 3 most important skills that you expect you will need in your future job.;it skills;1;it skills;neutrals;
Name 3 most important skills that you expect you will need in your future job.;leadership;1;leadership;positives;
Name 3 most important skills that you expect you will need in your future job.;leadership skills;1;leadership;positives;
